id;nr;type;max_number_of_leases;internet_access_id;address_id
1;1;SINGLE;1;1;1
2;2;SINGLE;1;2;1
3;3;SINGLE;1;3;1
4;4;SINGLE;1;4;1
5;5;SINGLE;1;5;1
6;6;SINGLE;1;6;1
7;7;SINGLE;1;7;1
8;8;SHARED;2;8;1
9;9;SHARED;2;9;1
10;10;SINGLE;1;10;1
11;11;SINGLE;1;11;1
12;12;SINGLE;1;12;1
13;13;SINGLE;1;13;1
14;14;SINGLE;1;14;1
15;15;SINGLE;1;15;1
16;16;SHARED;2;16;1
17;17;SHARED;2;17;1
18;18;SHARED;2;18;1
19;19;SINGLE;1;19;1
20;20;SHARED;2;20;1
21;21;SINGLE;1;21;1
22;22;SINGLE;1;22;1
23;23;SINGLE;1;23;1
24;24;SHARED;2;24;1
25;25;SINGLE;1;25;1
26;26;SINGLE;1;26;1
27;27;SINGLE;1;27;1
28;28;SINGLE;1;28;1
29;29;SINGLE;1;29;1
30;30;SHARED;2;30;1
31;31;SHARED;2;31;1
32;32;SINGLE;1;32;1
33;33;SHARED;2;33;1
34;34;SHARED;2;34;1
35;35;SINGLE;1;35;1
36;36;SINGLE;1;36;1
37;37;SINGLE;1;37;1
38;38;SINGLE;1;38;1
39;39;SINGLE;1;39;1
40;40;SHARED;2;40;1
41;41;SINGLE;1;41;1
42;1;SHARED;2;42;2
43;2;SINGLE;1;43;2
44;3;SINGLE;1;44;2
45;4;SHARED;2;45;2
46;5;SINGLE;1;46;2
47;6;SINGLE;1;47;2
48;7;SHARED;2;48;2
49;8;SHARED;2;49;2
50;9;SHARED;2;50;2
51;10;SINGLE;1;51;2
52;11;SHARED;2;52;2
53;12;SINGLE;1;53;2
54;13;SINGLE;1;54;2
55;14;SHARED;2;55;2
56;15;SINGLE;1;56;2
57;16;SHORT_TERM;1;57;2
58;17;SINGLE;1;58;2
59;18;SINGLE;1;59;2
